source,trans1,trans2,trans3
"穿脱方便
懒人福音
增高7cm，修长双腿
很软，很轻，透气性很好
魔术贴设计，3秒穿脱
支撑足弓，缓解一天的疲劳
逛街通勤毫无压力
不崴脚/不累脚/不臭脚
不显脚大
改善调整腿部形状
三足弓支撑 有效改善扁平足、足外翻、X型腿","着脱が簡単
足の疲れを軽減する
7cm身長アップ、脚長効果
柔らかくて軽くて通気性が良い
3秒で着脱できる
足のアーチをサポートし、1日の疲れを和らげる
通勤や買い物にストレスなし
足の痛みや疲れを解消
足が大きく見えず
脚の形を改善
アーチサポート、扁平足、外反母趾、X型脚を改善",['着脱が簡単 怠け者の福音 身長を7cm伸ばし、脚を長くする 非常に柔らかく、非常に軽く、通気性が良い マジックテープ設計、着脱3秒 足のアーチをサポートし、一日の疲れを癒す 無理なく散歩や通勤ができる 足が折れない\\/足が疲れない\\/足が臭わない 大股にならない 足の形を整える 3つのアーチサポート 偏平足、外反足、X脚の改善に効果あり'],"脱ぎ履きが簡単
怠け者の福音
7cmヒールアップで美脚に
とても柔らかく、軽く、通気性抜群
マジックテープデザインで3秒で脱ぎ履き
アーチサポートで一日の疲れを軽減
ショッピングや通勤も楽々
捻挫しない/足が疲れない/臭わない
足が大きく見えない
脚の形を改善調整
三つのアーチサポートで偏平足、外反母趾、X脚を効果的に改善"
想瞬间长高7cm，还不崴脚、不累脚、不臭脚吗？那就试试我们的厚底百搭魔术贴增高老爹鞋！它轻便舒适，穿上马上显腿长。3秒快速穿脱，不用再为系鞋带烦恼。逛街、通勤，全程无压力，再也不怕走路太累。足弓支撑设计，有效改善扁平足、足外翻、X型腿问题，让你的腿部线条更美。有了它，你的其他鞋估计都要落灰了。,7cm身長アップ、足の疲れ、足の臭いを解消したい？なら、当社の厚底マジックテープヒールアップパパシューズを試してみてください！軽量で快適、履くと足が長く見えます。3秒で履き替え、靴紐の悩みを解消します。買い物、通勤、全行程のストレスなし、足が疲れにくくなります。足のアーチサポートデザイン、扁平足、外反母趾、X型脚の改善に効果的で、脚のラインを美しくします。これがあれば、他の靴はもう使わないでしょう。,['足を痛めることなく、疲れることなく、臭うことなく、瞬時に7cm身長を伸ばしたいですか？ そして、私たちの厚底万能ベルクロ高さ増加ポップスシューズを試してみてください！ 軽量で履き心地がよく、すぐに足の長さがわかります。3秒ですぐに着脱でき、靴ひもを結ぶ心配もありません。 ショッピング、通勤、圧力なしで全体のプロセスは、もはやあまりにも疲れて歩くことを恐れていない。 アーチサポートデザインは、効果的に偏平足、プロネーション、X脚の問題を改善し、あなたの脚のラインをより美しくします。 これさえあれば、他の靴は埃にまみれてしまうでしょう。'],7cmも瞬間に高くなり、足をくじかず、疲れず、臭わない？それなら、私たちの厚底マジックテープで身長アップできるオシャレなダッドスニーカーを試してみてください！軽くて快適で、履くだけで脚が長く見えます。3秒で素早く脱ぎ履きでき、靴ひもを結ぶ煩わしさもありません。ショッピングや通勤もストレスフリーで、歩き疲れを気にする必要はもうありません。アーチサポートデザインで、偏平足、外反足、X脚の問題を効果的に改善し、脚のラインを美しく整えます。これさえあれば、他の靴はきっとお蔵入りになるでしょう。
"【手工梨膏糖】
清痰止咳 護嗓潤肺 
0添加，清涼爽口，
老少皆宜！ 獨立包裝，
乾淨衛生，吃的更放心！
夏天炎熱容易上火 
家里一定要屯点梨膏糖吃","【手作の梨糖】
痰をきれいに、咳を止め、喉を守り、肺を潤す。
無添加、爽やかで、口の中を清涼させる。
老若男女に適している！独立した包装。
清潔で、健康的で、安心して食べられる！
夏は暑くて、火気を起こしやすい。
家に必ず梨糖を備えておく。",['手作り梨ペースト飴】痰を取り除き、咳を和らげ、声を保護し、肺を潤す 添加物0、清涼感があり、老若男女に適しています！ 個別包装、清潔で衛生的、より安心して食べることができます！ 夏の暑さは、いくつかの梨ペースト砂糖を食べるためにトゥエンしなければならない家に火をつけるのは簡単です！'],"【手作り梨シロップキャンディ】
痰を除去し咳を止め、喉を守り肺を潤す
添加物ゼロ、清涼感のある味わい
老若男女問わず楽しめます！個別包装で
清潔で衛生的、安心してお召し上がりいただけます！
夏の暑さで熱がこもりがち
家に少し梨シロップキャンディを常備しておきましょう"
"久坐护臀坐垫
中空透气，不易压迫
人体工学，释压支撑，减少臀部压力
舒适支撑，不累腰，
凝胶材质，无异味，不会变形
开车办公都很合适","長時間座りがちな人に最適な座布団
中空構造で通気性が良く、圧迫感が少ない
人間工学に基づき、圧力を軽減し、座り心地が良い
腰を疲れさせない、快適なサポート
ゲル素材で、臭いがなく、変形しない
ドライブやオフィスに最適",['座り臀部クッション 中空と通気性、圧力に容易ではない 人間工学、圧力サポートを解放し、臀部への圧力を軽減 快適なサポート、疲れない腰、ゲル素材、無臭、変形されることはありません 運転オフィスは非常に適切である'],"長時間座ってもお尻を守るクッション
中空通気性で圧迫しにくい
人間工学に基づき、圧力を分散しサポート、お尻の負担を軽減
快適なサポートで腰も疲れない
ジェル素材で無臭、変形しない
運転やオフィスワークに最適"
"无论你是什么疤痕
无论你是几年老疤
医师推荐，100%品质保障
硅凝胶伤疤贴
不开刀，0刺激
草本植物配方
妊娠纹，烧伤疤痕，手术疤痕
5天淡疤，草本精华，不刺激
疤痕自然脱落，无疼痛感，祛疤不留痕
没有效果退款","どんな傷跡でも
何年も経過した傷跡でも
医師おすすめ、100％品質保証
シリコンゲルマスク
手術なし、刺激なし
ハーブ配合
妊娠線、火傷跡、手術跡
5日で薄くなる、ハーブエキス、刺激なし
傷跡が自然に落ち、痛みなし、跡が残らない
効果がなければ返金",['傷跡の種類に関係なく、何歳でも、100％の品質保証 シリコーンゲル傷跡パッチ 手術なし、刺激なし ハーブ式 妊娠線、火傷の傷跡、手術の傷跡 傷跡を薄くする5日間、ハーブエキス、刺激なし 傷跡が自然に落ちる、痛みなし、傷跡なし、効果なし、返金！'],"どんな傷跡でも
何年経った古い傷跡でも
医師推薦、100%品質保証
シリコーンジェル傷跡パッチ
手術不要、刺激ゼロ
ハーブ植物配合
妊娠線、火傷跡、手術跡
5日で傷跡を薄く、ハーブエキス、刺激なし
傷跡が自然に落ち、痛みなし、跡が残らない
効果がなければ返金"
"轻松搭配的韩系休闲套装.限量发售！
休闲、新潮！舒适弹力，可穿100kg
舒适纯棉，吸湿透气，垂顺飘逸
多次洗涤也不起皱、不变形、不掉色
高级质感 帅气有型
商品确认、试穿、7天内无理由退款","快適に着用できる韓国風カジュアルセットアップ。数量限定販売！
カジュアルでトレンド感満載！快適なストレッチ性で100kgまで着用可能
快適なコットン素材、吸湿性と通気性に優れ、シルエットが美しく
洗濯してもシワにならず、変形せず、色落ちしない
高級感溢れるデザインで、オシャレ感アップ
商品確認、試着、7日以内に返品可能",['合わせやすい韓国カジュアルスーツ。 限定品！ カジュアルでトレンディー！ 快適な伸縮性、100kgまで着用可能 快適なコットン、吸湿性、通気性、ドレープ性、流れるような肌触り シワなし、変形なし、何回洗濯しても色落ちなし 高級な肌触り ハンサムでスタイリッシュ 商品確認、試着、7日以内であれば返金理由なし'],"楽々コーデの韓国風カジュアルセットアップ。限定販売！
カジュアルでトレンディ！快適なストレッチ素材、100kgまで着用可能
快適な純綿、吸湿通気、ドレープ感あり
何度洗ってもシワにならず、形崩れせず、色落ちしない
高級感のあるスタイリッシュなデザイン
商品確認、試着、7日以内無条件返品可能"
"高腰斜扣女士牛仔裤
视觉增高5cm .各种腿型都能穿
显瘦挺括版型.翘臀.隐藏多余赘肉
轻松掩盖臀部和大腿的赘肉
满足身高150CM-180CM 体重40-100kg女生的要求","ハイウエストスナップフリー女用デニムパンツ
視覚的に身長を5cm高く見せる。様々な脚型に対応
スリムで美脚効果抜群。ヒップアップ効果。余分な脂肪をカバー
ヒップと太ももの余分な脂肪をカバーしやすい
身長150cm-180cm、体重40-100kgの女性に最適",['スラッシュボタンのハイウエストジーンズ。 あらゆる脚の形とサイズに対応。 痩せてシェイプされたフィット感。 余分な脂肪を隠す 余分な脂肪を隠す お尻と太ももを簡単にカバー 身長150cm～180cm、体重40kg～100kgの女子のご要望にお応えします。'],"ハイウエスト斜めボタンレディースジーンズ
視覚的に身長5cmアップ。どんな脚の形にもフィット
スリムで立体的なシルエット。ヒップアップ。余分な贅肉を隠す
ヒップや太ももの贅肉を簡単にカバー
身長150cm-180cm、体重40-100kgの女性のニーズに応える"
"新款推荐，欧美品牌时尚阿甘鞋
穿上增高4cm，显高显腿长
足弓矫正，保护双脚，释压抗疲劳，穿一天不累脚
复古时尚，优质真皮，柔软舒适，轻盈透气
今日最低折扣，50%off","新作おすすめ、欧米ブランドのファッショナブルなアガンシューズ
履くと身長4cmアップ、脚長効果
足のアーチを矯正し、足を保護し、疲労を軽減し、1日中履いても足が疲れない
レトロなファッション、上質な本革、柔らかくて快適、軽量で通気性が良い
今日の最低価格、50%OFF",['新しい推奨、ヨーロッパと米国のブランドファッションガンプの靴は、4cmの高さの増加、高くて長い脚のアーチ補正、足の保護、抗疲労圧力を解放し、疲れた足レトロファッション、高品質の革、柔らかく快適で、軽量で通気性のない一日を着用してください 本日最安値割引、50％オフ'],"新作おすすめ、欧米ブランドのファッション阿甘シューズ
履くと4cmアップ、背が高く見え脚長効果
アーチサポート、足を保護、圧力を解放し疲労を軽減、一日中履いても疲れない
レトロファッション、高品質な本革、柔らかく快適、軽量で通気性抜群
本日の最安値、50%オフ"
"小朋友刚开始写字总是歪歪扭扭？
孩子握笔不正确，书写不美观？
老师推荐
儿童控笔训练字贴
帮孩子从小打好书写基础
手脑协调
控笔训练
专利力训练
自动消失 可反复书写练习
限时送笔和握笔器
全套6款，全面培养宝宝书写规范","子供が初めて文字を書くときに、いつも曲がっていますか？
子供がペンを正しく握っておらず、書き方が美しくありませんか？
先生がおすすめ
子供用ペンコントロール練習シート
子供が小さい頃から書き方の基礎をしっかり打ちます。
手と脳の協調
ペンコントロール
特許力トレーニング
自動消失、繰り返し書き方練習可能
タイムセールペンとペンコントロール器をプレゼント
6種類セット、赤ちゃんの書き方をしっかり教えます。",['子どもはいつも書き始めが曲がっている？ 子供がペンを正しく持てない、字が美しくない？ 先生の推薦 子供のペンコントロール訓練単語シール 子供の頃から書くための良い基盤を構築するのに役立ちます 手と脳のコーディネーション ペンコントロール訓練 特許トレーニング 自動消滅 繰り返し書ける練習 ペンや鉛筆のグリップを送信するための限られた時間 6モデルのフルセット、赤ちゃんの書く規範の包括的な開発'],"お子様が字を書き始めるといつも歪んでしまう？
子供が正しくペンを握れず、字がきれいに書けない？
先生がおすすめ
子供用ペンコントロール練習シート
お子様の書く基礎をしっかりと築く
手と脳の協調
ペンコントロール練習
特許取得の力トレーニング
自動消失 繰り返し書いて練習可能
期間限定でペンとペングリップをプレゼント
全6種類、赤ちゃんの書き方を全面的に育成"
"有黑头粉刺困扰的看过来
升级版304不锈钢粉刺夹
弯嘴夹高密度咬合，咬口紧密，汗毛都能紧紧夹住，
直嘴夹尖部0.1mm，适合夹取细小粉刺
对毛孔无害，使痘痘粉刺无地遁形。
采取热处理工艺，经久耐用，不易变形
轻松清理毛孔垃圾，解压又舒爽","ニキビや毛穴に悩む方は見てください。
アップグレードされた304ステンレスニキビクリップ
カーブ付きクリップは高密度で咬み込み、口をしっかり閉じ、毛穴をしっかりと挟みます。
ストレートクリップの先端は0.1mmで、細いニキビを挟むのに適しています。
毛穴に無害で、ニキビや毛穴に逃げることがありません。
熱処理技術を採用し、耐久性があり、変形しにくいです。
毛穴のゴミを簡単に落とし、ストレスを解消してリラックスします。",['304ステンレス鋼のにきびクリップのアップグレード版を見て悩まさ黒ずみにきびを持っている 曲がった口クリップ高密度一口、一口がタイトであり、汗の毛がしっかりとクランプすることができ、ストレート口クリップ先端0.1ミリメートル、細かいにきびをクランプするのに適しています 毛穴に無害なので、にきびにきびが隠れる場所がありません。 熱処理プロセス、変形すること容易ではない耐久財を採用して下さい 気孔の屑、減圧および慰めをきれいにすること容易。'],"黒ずみやニキビにお悩みの方はこちらへ
アップグレード版304ステンレススチールニキビ取りピンセット
曲がり先端ピンセットは高密度で噛み合い、汗毛さえもしっかり掴むことができます。
直先端ピンセットは先端が0.1mmで、細かいニキビに適しています。
毛穴に害を与えず、ニキビや黒ずみを逃さず除去します。
熱処理技術を採用し、耐久性があり、変形しにくいです。
毛穴の汚れを簡単に取り除き、ストレス解消と爽快感を提供します。"
"黑科技清洁抹布
万物皆可擦
神奇魔力抹布
不易掉毛
不留水痕
擦玻璃专用抹布
超高吸水性
祛除污渍，表面光滑
去污抛光，保持物品光亮如新
家务清洁的好帮手
快速清洁车子
轻轻一擦就干净
强力吸污， 不留痕迹
适用范围广，玻璃、镜子、家具、车子都可使用","ブラックテクノロジー掃除クロス
何でも拭ける
神秘的な魔力クロス
毛が落ちにくい
水跡が残らない
ガラス専用クロス
吸水性抜群
汚れを取り除き、表面を滑らかにする
汚れを拭き取り、物を新品のように保つ
家事の手伝い
車を素早く掃除する
軽く拭くときれいになる
汚れを強力に吸い取る、跡が残らない
使用範囲が広く、ガラス、鏡、家具、車などに使える",['ブラックテック クリーニングワイプ あらゆるものが拭ける 奇跡のマジックワイプ 糸くずが出ず、水滴の跡が残らない ガラス用クリーニングワイプ 超吸収性 汚れを取り除き、表面を滑らかにします 汚れや光沢を取り除き、物をピカピカに保ちます ハウスクリーニングの強い味方 車を素早くきれいに拭き取ります 汚れを強力に吸収し、跡を残しません 幅広く使用でき、ガラス、鏡、家具、車などに使用できます。'],"黒科技クリーニングクロス
何でも拭ける
神奇な魔法のクロス
毛羽立ちにくい
水跡を残さない
ガラス専用クロス
超高吸水性
汚れを除去し、表面を滑らかに
汚れ除去と研磨で、物を新品同様に保つ
家事清掃の強い味方
車の素早い清掃
軽く拭くだけでクリーン
強力な汚れ吸着、跡を残さない
広い使用範囲、ガラス、鏡、家具、車にも使用可能"
"脸上的痘痘，黑头白头，不要再用手挤了！这款细胞夹，轻松夹出来毛孔中的油脂和死皮
如果你是油皮肤质，黑头要定期清理，防止毛孔扩张变大
它可以深入毛囊1cm精准夹出堵塞物，深度清洁，给自己一个清爽的皮肤
高硬度材料，0.1mm尖细镊口深入毛孔
专业细胞夹，去除黑头/粉刺/黑头/脂肪粒/细毛等。
0.1mm精度，不痛不伤皮肤，安全卫生
不锈钢材质，安全无刺激，适合所有肤质","顔のニキビ、黒ずみ、白い毛穴、もう手で押さえるのは止めよう！この細胞ピンcherは、毛穴の油脂と死皮を簡単にピンchすることができる。
油性肌の方は、定期的に毛穴をクリーンし、毛穴の拡大を防ぐ必要がある。
毛穴1cmまで深く浸透し、詰まったものをピンchし、深いクリーンをして、爽やかな肌を手に入れる。
高硬度の素材で、0.1mmの細いピンcherは、毛穴に深く浸透する。
専門の細胞ピンcherで、黒ずみ/ニキビ/毛穴/脂肪粒/細毛などを除去する。
0.1mmの精度で、痛くない、皮膚を傷つけない、安全で衛生的。
ステンレス素材で、安全で刺激がなく、どんな肌質にも適している。",['顔のニキビ、黒ずみ、白斑を手でつぶすのはもうやめましょう！ このセルクリップ、毛穴に詰まった皮脂や角質を簡単に切り取ることができます オイリーな肌質の方は、毛穴が広がって大きくなるのを防ぐために、黒ずみを定期的に洗浄する必要があります 毛包1cmの奥まで入り込み、詰まったものを正確に切り取ることができます、深い洗浄、爽やかな肌を自分に与えます 高硬度素材、0.1mmの鋭く細かいピンセット口で毛穴の奥まで入り込みます 黒ずみ\\/ニキビ\\/黒ずみ\\/脂肪粒\\/細かい毛などを除去するためのプロフェッショナルなセルクリップです。 0.1mm精度、痛くなく肌を傷つけず、安全で衛生的 ステンレス素材、安全で刺激がなく、すべての肌タイプに適している'],"顔のニキビ、黒ずみ、白ずみ、もう手で絞らないで！このセルピンセットを使えば、毛穴の皮脂や角質を簡単に取り除けます。
オイリー肌の方は、黒ずみを定期的に清掃して、毛穴の拡張を防ぎましょう。
このピンセットは毛嚢の1cm奥まで正確に詰まりを取り除き、深くクレンジングし、爽やかな肌を手に入れましょう。
高硬度の素材、0.1mmの細い先端で毛穴に深く入り込みます。
プロフェッショナルなセルピンセットは、黒ずみ/ニキビ/白ずみ/脂肪粒/産毛などを除去します。
0.1mmの精度で、痛みもなく、肌を傷つけず、安全で衛生的です。
ステンレス素材で、安全で刺激がなく、すべての肌質に適しています。"
"这款高端磁疗耳环，既好看又能瘦身
戴上气质超好，年轻10岁！
磁疗科技，耳穴刺激
促进人体新陈代谢
有效改善水肿、帮助排出毒素
3倍燃脂，让你不知不觉就瘦了！
你身边比你瘦、身材好的人都在戴！
如果不起作用，您可以随时退款！
巨百搭，谁戴谁好看！
火爆日韩
高端磁疗耳环","この高級磁気治療イヤリングは見た目も良いし、痩せもできる。
装着すると、気質が良くて10歳若く見える！
磁気治療技術、耳穴刺激
人体の新陳代謝を促進
水腫を改善し、毒素を排出する
脂肪を3倍燃焼させて、気づかずに痩せられる！
あなたの周りの人が痩せている人や体型が良い人もいる！
効果がなければいつでも返金できる！
コーデしやすく、誰でも着用すれば美しい！
日韓で大人気
高級磁気治療イヤリング",['これらのハイエンドの磁気治療のイヤリングは、見栄えと痩身の両方である 素晴らしい気質、10歳若いを着用してください！ 磁気療法の技術、耳の刺鍼術ポイントの刺激はボディの新陳代謝を促進します 効果的に水腫を改良しましたり、3 回の脂肪質の焼却を、無意識に薄くするように排出の毒素を助けます！ 周りのあなたより細い人、いい体をしている人がつけています！ 効果がなければいつでも返金してもらえます！ 万能で誰にでも似合います！ 高級磁気治療ピアス'],"この高級磁気療法イヤリングは、見た目も良く、ダイエット効果もあります。
装着すると気質が非常に良くなり、10歳若返ります！
磁気療法技術、耳のツボを刺激
人体の新陳代謝を促進
むくみを効果的に改善し、毒素の排出を助けます
3倍の脂肪燃焼効果で、知らないうちに痩せます！
あなたの周りのスリムでスタイルの良い人たちはみんなこれを着けています！
効果がない場合は、いつでも返金可能です！
どんなスタイルにも合わせやすく、誰が着けても美しく見えます！
日韓で大人気
高級磁気療法イヤリング"
